y	w1star	w2star	s
0	0.04355632	-0.2414444	0
0	-0.09655368	-0.25397735	1
0	0.2108029	-0.02890476	1
0	-0.26848621	-0.52100248	1
0	-1.01194931	0.25533785	1
0	0.12488499	0.09793482	0
0	-0.46241215	0.1656747	1
0	-0.76567521	-0.52892476	1
0	-0.13729175	-1.71026994	1
0	0.10978644	0.00057109	1
0	-0.09723718	0.06908657	1
0	0.18193878	-0.47895783	1
0	-0.29215324	-0.22502991	1
1	0.04015935	-0.25351995	1
0	0.47614246	0.62400396	0
1	-0.37230073	-0.02893956	1
0	-0.31245323	0.0116001	1
0	0.2341828	0.17738029	1
1	0.2244478	0.90372372	1
0	0.01799709	-0.08247735	0
0	-0.52783597	-0.58231076	1
0	0.10141102	0.17839881	1
0	0.1218305	0.36027671	1
0	-0.12098398	-0.3039878	1
0	0.69246613	0.2497962	1
0	0.34597616	-0.90948526	1
0	-0.51125178	0.23941005	1
0	0.01974229	0.01182095	0
0	-0.31238389	0.08994178	1
0	0.00199917	0.33012734	1
0	0.01974229	0.11397898	0
0	0.20111929	0.40728717	0
0	0.14542973	0.30109342	1
0	-0.02202426	-0.12325001	0
0	-0.02487327	0.02805385	0
0	-0.16106041	0.09331573	1
0	-0.41625294	-0.30320126	0
0	-0.08157489	0.37845951	1
1	0.24528965	-0.33736367	1
0	-0.72915269	0.72924826	1
0	0.15544396	0.30444866	1
1	0.31304927	0.11445813	1
1	0.12285696	-0.01949797	1
0	0.49129513	0.57317587	0
1	-0.01547958	0.08862755	1
0	-0.07141848	-0.16436906	0
0	-0.26973251	-0.28599699	1
0	0.4750117	0.14598285	1
0	-0.56279853	-0.89759486	1
0	0.35949748	0.82393698	1
0	0.41831598	0.7590688	1
0	0.18316238	-0.48844719	1
0	-0.76228415	0.02410397	1
0	-0.01962433	0.10145371	1
1	-0.18496305	0.05870068	1
0	-0.06972689	-0.13740082	1
0	0.18717821	-0.12326657	1
0	-0.27111151	-0.04542336	0
0	-0.16782342	-0.36423311	1
0	0.13316365	0.29388586	1
0	-0.1998209	6.253e-05	0
0	0.67897317	-0.17787362	1
0	-0.18648678	-0.06914322	0
0	-0.20528346	0.68012993	1
0	-0.15093882	-0.17467871	0
0	-0.25702608	-0.22504949	0
0	-0.24209959	-0.28495009	0
0	-0.10891962	0.42723414	1
0	-0.18758447	-0.00052536	0
0	0.13073301	0.18728071	0
0	0.32783839	0.25617104	1
0	0.41385548	0.73606398	1
0	-0.05733304	0.10986856	0
0	0.81209556	0.2286879	1
0	0.01624578	0.0412125	0
0	-0.13553801	-0.36621114	1
0	-0.30468117	-0.39007017	0
0	-0.00161326	0.18220453	0
0	0.15067385	-0.12525658	1
0	-0.20720159	0.23886658	1
1	0.41966402	0.2511395	1
0	0.51307514	0.65223919	1
0	-0.35273186	0.14274667	1
0	-0.20034371	0.71270534	1
0	-0.58337571	-0.30040653	1
0	0.16635534	-0.49025868	1
