y	w			z 		sh
4	1.2152664838742		-0.375		1
7	1.2152664838742		-0.125		1
9	1.2152664838742		0.125		1
9	1.2152664838742		0.375		1
7	1.2152664838742		-0.375		2
7	1.2152664838742		-0.125		2
6	1.2152664838742		0.125		2
8	1.2152664838742		0.375		2
3	1.2152664838742		-0.375		3
6	1.2152664838742		-0.125		3
11	1.2152664838742		0.125		3
8	1.2152664838742		0.375		3
17	1.2152664838742		-0.375		4
8	1.2152664838742		-0.125		4
4	1.2152664838742		0.125		4
9	1.2152664838742		0.375		4
4	1.2152664838742		-0.375		5
11	1.2152664838742		-0.125		5
10	1.2152664838742		0.125		5
10	1.2152664838742		0.375		5
6	0.104384102614271	-0.375		6
7	0.104384102614271	-0.125		6
7	0.104384102614271	0.125		6
6	0.104384102614271	0.375		6
3	0.104384102614271	-0.375		7
8	0.104384102614271	-0.125		7
6	0.104384102614271	0.125		7
4	0.104384102614271	0.375		7
9	0.104384102614271	-0.375		8
7	0.104384102614271	-0.125		8
6	0.104384102614271	0.125		8
6	0.104384102614271	0.375		8
3	0.104384102614271	-0.375		9
2	0.104384102614271	-0.125		9
7	0.104384102614271	0.125		9
6	0.104384102614271	0.375		9
3	0.104384102614271	-0.375		10
9	0.104384102614271	-0.125		10
10	0.104384102614271	0.125		10
8	0.104384102614271	0.375		10
10	-1.31965058648847	-0.375		11
3	-1.31965058648847	-0.125		11
0	-1.31965058648847	0.125		11
0	-1.31965058648847	0.375		11
3	-1.31965058648847	-0.375		12
2	-1.31965058648847	-0.125		12
3	-1.31965058648847	0.125		12
3	-1.31965058648847	0.375		12
6	-1.31965058648847	-0.375		13
4	-1.31965058648847	-0.125		13
4	-1.31965058648847	0.125		13
3	-1.31965058648847	0.375		13
1	-1.31965058648847	-0.375		14
3	-1.31965058648847	-0.125		14
3	-1.31965058648847	0.125		14
3	-1.31965058648847	0.375		14
3	-1.31965058648847	-0.375		15
5	-1.31965058648847	-0.125		15
2	-1.31965058648847	0.125		15
3	-1.31965058648847	0.375		15		
